group,n_primary_stacks,depth_um,bg_subtracted_mean,bg_subtracted_sem,normalized_mean,normalized_sem,lambda_mean_um,lambda_sem_um,n_lambda_ok,r_squared_mean
GelMA,2,0,2426.73,214.649,0.994715,0.00668291,81.8634,1.57757,2,0.904345
GelMA,2,4.8,2439.32,201.235,1.00037,0.000719125,81.8634,1.57757,2,0.904345
GelMA,2,9.6,2448.79,182.34,1.00492,0.00740203,81.8634,1.57757,2,0.904345
GelMA,2,14.4,2449.8,170.346,1.00574,0.012388,81.8634,1.57757,2,0.904345
GelMA,2,19.2,2453.09,160.586,1.00743,0.0165291,81.8634,1.57757,2,0.904345
GelMA,2,24,2450.97,144.858,1.00708,0.0229516,81.8634,1.57757,2,0.904345
GelMA,2,28.8,2438.31,131.859,1.00229,0.027891,81.8634,1.57757,2,0.904345
GelMA,2,33.6,2417.56,123.46,0.994009,0.0306583,81.8634,1.57757,2,0.904345
GelMA,2,38.4,2403.16,111.851,0.988457,0.0349652,81.8634,1.57757,2,0.904345
GelMA,2,43.2,2378.78,98.7659,0.978831,0.0395445,81.8634,1.57757,2,0.904345
GelMA,2,48,2343.89,79.9633,0.965061,0.0461299,81.8634,1.57757,2,0.904345
GelMA,2,52.8,2296.1,68.8083,0.945707,0.049122,81.8634,1.57757,2,0.904345
GelMA,2,57.6,2235.68,41.6583,0.921674,0.0582914,81.8634,1.57757,2,0.904345
GelMA,2,62.4,2156.21,24.4581,0.889445,0.0627099,81.8634,1.57757,2,0.904345
GelMA,2,67.2,2059.44,5.06504,0.850146,0.0674495,81.8634,1.57757,2,0.904345
GelMA,2,72,1940.37,21.339,0.801873,0.0743306,81.8634,1.57757,2,0.904345
GelMA,2,76.8,1809.19,47.4741,0.748594,0.080692,81.8634,1.57757,2,0.904345
GelMA,2,81.6,1664.03,74.0635,0.689556,0.0867687,81.8634,1.57757,2,0.904345
GelMA,2,86.4,1503.38,86.4844,0.623647,0.0864726,81.8634,1.57757,2,0.904345
GelMA,2,91.2,1315.63,68.2546,0.54551,0.0726059,81.8634,1.57757,2,0.904345
GelMA,2,96,1126.45,33.8756,0.466241,0.0520235,81.8634,1.57757,2,0.904345
GelMA,2,100.8,937.691,3.76773,0.387033,0.0301071,81.8634,1.57757,2,0.904345
